unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
226,object,horse,0.023565309472369768,horse,1249989,1392699.0,60842,0.023565309472369768,brown-c,185306464,2299304.0,695796,0.0037226264203816797,glass,2286730,904890.0,25036,0.0079063116595043739,building_facade-s,3205019,738793.0,40955,0.010493594820409766,swirly,1634432,41566.0,5707,0.0034167698921924385,torso,7789829,928078.0,143578,0.016745100403775037
187,texture,zigzagged,0.023345171617362222,motorbike,1463055,1448606.0,46190,0.016119514034516488,red-c,21346526,2913557.0,105787,0.0043796349932947749,metal,3525611,1075530.0,19833,0.0043291129956772173,dining_room-s,5797126,661979.0,38001,0.0059181411794607284,zigzagged,1647201,340428.0,45343,0.023345171617362222,wheel,1540612,932641.0,30206,0.01236406831305333
166,part,wheel,0.023251082023361767,road,13092677,1740490.0,208626,0.014265473357420243,grey-c,161925849,2787610.0,800846,0.004885810709393059,carpet,4490516,792535.0,28223,0.0053708703691157924,street-s,28615329,835245.0,178029,0.0060817738942753356,freckled,1583356,123919.0,21421,0.012706319764344954,wheel,1540612,1260501.0,63649,0.023251082023361767
131,part,leg,0.023230826368596649,pillar,615007,1256533.0,28343,0.015377086659754763,yellow-c,34739742,2273738.0,132568,0.0035944881189489022,wood,9978559,848657.0,30589,0.0028331996650435361,skyscraper-s,4481919,688509.0,25810,0.005016893382560182,striped,2477186,123445.0,26049,0.010117758921642427,leg,2832633,773786.0,81878,0.023230826368596649
12,color,orange-c,0.023217266383827161,bus,1654056,1585344.0,52839,0.016581825987326149,orange-c,30864899,2833366.0,764629,0.023217266383827161,food,1124215,1084115.0,15354,0.0070014446122529383,coast-s,1123672,785735.0,23250,0.012326651492956312,striped,2477186,113954.0,21812,0.0084893793240878555,head,5034747,909951.0,90326,0.015428811151734122
117,object,sheep,0.023139234043388825,sheep,824399,1259664.0,47133,0.023139234043388825,grey-c,161925849,2840283.0,1401839,0.0085810612237032721,painted,13701711,1274393.0,115692,0.0077852484843623443,bathroom-s,9423522,670052.0,106515,0.010665301967275852,gauzy,1659970,58468.0,8391,0.0049068826763241013,torso,7789829,891904.0,130012,0.015203021707560384
112,color,white-c,0.023092072222095972,sky,37221416,1706358.0,594519,0.015509222997107863,white-c,73689572,2755485.0,1725431,0.023092072222095972,glass,2286730,989476.0,24648,0.0075803660891178935,street-s,28615329,991220.0,275557,0.0093947385073099472,chequered,1557818,67412.0,10564,0.0065425295386166548,pane,489020,1055517.0,6183,0.0040192309442430027
148,texture,dotted,0.023074215415295793,bed,6001986,1024552.0,63210,0.0090775560191908231,red-c,21346526,2143824.0,89585,0.0038282936476649373,food,1124215,804428.0,22203,0.011646314596840185,water_tower-s,280918,458346.0,6295,0.0085883577613787218,dotted,2987946,278953.0,73681,0.023074215415295793,body,1312994,702299.0,18674,0.0093528109268718775
163,object,bird,0.022951488924472199,bird,1046893,1629233.0,60043,0.022951488924472199,black-c,142117568,2798321.0,898100,0.0062360351886807542,fabric,8700788,1088325.0,31888,0.0032681423253025322,lighthouse-s,600143,630523.0,14390,0.01183119620875525,potholed,1608894,46942.0,4109,0.0024876992384334699,head,5034747,1170595.0,107531,0.01763436092066481
169,object,airplane,0.022949640092110934,airplane,1310659,1322263.0,59069,0.022949640092110934,red-c,21346526,2380802.0,121962,0.0051667065869684036,fabric,8700788,794039.0,44126,0.0046690716381779509,moon_bounce-s,140459,652446.0,3882,0.0049200086689488139,striped,2477186,175174.0,48486,0.01862071667062231,body,1312994,881517.0,46985,0.02187866409999227
5,color,white-c,0.022939110159152201,dog,3854036,1734623.0,108547,0.019807441891698564,white-c,73689572,3250518.0,1725359,0.022939110159152201,carpet,4490516,1398062.0,44352,0.0075890288979242075,bedroom-s,19511032,783168.0,121077,0.0060018966820357955,freckled,1583356,133080.0,9253,0.0054200399137057948,torso,7789829,1243109.0,152773,0.017203847000590643
183,material,food,0.022608485918617641,sheep,824399,1958255.0,59073,0.021689459575463334,orange-c,30864899,3286463.0,357774,0.0105870379907573,food,1124215,1122870.0,49680,0.022608485918617641,coast-s,1123672,926873.0,14443,0.0070934560252875348,freckled,1583356,290510.0,31624,0.017166040075082427,torso,7789829,1226638.0,186352,0.021104141905286623
253,object,track,0.022578673296514237,track,499164,1990042.0,54962,0.022578673296514237,black-c,142117568,3824970.0,814997,0.0056157294086585539,carpet,4490516,1288239.0,48914,0.0085367115771624383,staircase-s,881061,1162619.0,17642,0.0087076352960803304,striped,2477186,305164.0,47950,0.017535839672322997,coach,701489,1075080.0,10250,0.0058030287847212194
52,object,sky,0.02229496205416209,sky,37221416,1782539.0,850627,0.02229496205416209,white-c,73689572,2684371.0,787253,0.01041523315811289,glass,2286730,804537.0,14637,0.0047574781497937675,skyscraper-s,4481919,1074384.0,65300,0.011892180718167519,polka-dotted,1736584,25656.0,3363,0.0019120154507677341,shade,200733,881368.0,5220,0.0048473322493385994
180,texture,spiralled,0.021705966047599626,bicycle,1169902,1333978.0,28003,0.011310335691151054,black-c,142117568,3026487.0,634818,0.004392923339564792,food,1124215,1254027.0,19306,0.0081841982995723497,corridor-s,1557818,568275.0,11626,0.0054983123406513318,spiralled,1634432,314466.0,41404,0.021705966047599626,wheel,1540612,931714.0,49344,0.020364988266524473
